"EMP_ID","DEPT_ID","POS_ID","LAST_NAME","FIRST_NAME","EMAIL","MANAGER_ID","DATE_CREATED","DATE_UPDATED"
1,1,1,Hernández,Aaron,aaron.hernández@mailco.com,,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
2,2,1,García,Abdiel,abdiel.garcía@mailco.com,1,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
3,3,1,Martínez,Abel,abel.martínez@mailco.com,1,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
4,3,1,López,Abigail,abigail.lópez@mailco.com,1,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
5,4,1,González,Abraham,abraham.gonzález@mailco.com,1,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
6,4,1,Pérez,Abril,abril.pérez@mailco.com,1,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
7,5,2,Rodríguez,Adan,adan.rodríguez@mailco.com,l,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
8,3,2,Sánchez,Adolfo,adolfo.sánchez@mailco.com,3,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
9,3,2,Ramírez,Adrian,adrian.ramírez@mailco.com,4,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
10,3,3,Cruz,Adriana,adriana.cruz@mailco.com,3,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
11,3,3,Gómez,Adriel,adriel.gómez@mailco.com,4,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
12,4,2,Flores,Agustin,agustin.flores@mailco.com,5,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
13,4,2,Morales,Ailyn,ailyn.morales@mailco.com,6,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
14,4,3,Vázquez,Ainhoa,ainhoa.vázquez@mailco.com,5,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
15,4,3,Jiménez,Aitana,aitana.jiménez@mailco.com,6,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
16,4,3,Reyes,Alan,alan.reyes@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
17,4,3,Díaz,Alberto,alberto.díaz@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
